"preco","nrQuartos","nrWC","Sala_estar_m2","lote_m2","nrAndares","vista","condicao","piso_m2","arrecadacao_m2","Ano_construcao","Ano_renovacao"
225000,3,1,24,588,1,0,3,94,0,1947,2012
345000,3,4,25,648,1,0,3,98,0,1968,1997
230000,2,3,15,482,1,0,4,59,0,1931,0
385000,3,2,34,594,1,2,3,67,247,1943,2002
90000,2,1,18,238,1,0,3,71,0,1973,2013
860000,4,4,83,1001,1,2,3,206,423,1986,0
675000,4,4,70,499,2,0,3,270,0,2006,0
975000,4,4,81,674,2,3,3,314,0,2000,0
780000,3,4,54,945,1,0,4,211,0,1967,0
370000,3,4,38,743,1,0,5,95,197,1951,0
665000,3,2,45,524,2,0,5,104,263,1944,0
675000,5,3,79,864,1,0,4,168,513,1968,0
620000,3,1,40,365,2,0,3,154,0,1909,2004
1105000,4,3,64,360,2,0,5,174,270,1905,0
450000,3,5,29,80,2,0,3,94,70,2010,0
450000,3,3,57,3796,1,0,4,221,0,1978,2000
530000,3,4,39,737,1,0,4,152,0,1958,1972
580000,5,2,53,641,1,0,3,107,367,1964,2000
1550000,5,4,78,1571,1,2,5,180,457,1982,0
285000,3,1,25,778,1,0,4,98,0,1973,0
375000,3,1,28,854,1,0,4,107,0,1953,1983
1400000,5,5,82,713,2,0,3,318,0,2001,0
560000,3,1,33,450,2,0,3,130,0,1910,2006
405000,4,4,51,1218,1,0,3,98,363,1956,2001
413000,4,1,33,540,1,0,3,73,200,1925,2002
287600,3,4,45,743,2,0,3,176,0,1990,2009
1680000,5,4,113,2135,2,2,4,344,347,1989,0
225000,3,1,39,649,1,0,3,99,187,1963,2008
319000,3,1,32,1154,1,0,4,125,0,1968,0
322500,3,2,31,1278,1,0,3,122,0,1989,0
570000,3,2,36,486,1,0,4,138,0,1937,0
465000,3,3,30,460,1,0,3,114,0,1950,2005
435000,4,3,50,572,2,0,3,193,0,2002,0
502000,4,4,47,505,2,0,3,184,0,2012,0
525000,3,5,67,458,2,0,3,212,172,2007,0
870000,4,4,82,610,3,0,3,239,290,2006,0
650000,4,4,51,437,2,0,3,199,0,2013,0
505000,4,4,65,504,2,0,3,251,0,2009,0
330000,3,4,34,451,1,0,3,76,203,2007,0
385000,4,4,38,448,1,0,4,77,253,1947,1988
306000,3,3,28,98,3,0,3,110,0,2007,0
546000,3,4,46,450,1,0,4,100,297,1921,0
925000,4,4,51,662,3,0,5,197,0,1958,0
542000,4,4,44,743,1,0,4,86,317,1955,2009
8e+05,3,1,39,396,2,0,4,153,0,1906,1990
620000,5,4,59,345,2,0,5,158,260,1929,0
175000,2,1,27,803,1,2,3,105,0,1911,1979
740000,5,5,134,2851,1,2,3,404,428,1984,0
345000,3,3,49,1350,2,0,3,191,0,1984,0
510000,3,4,50,2381,1,0,3,131,240,1986,0
530000,4,5,57,1350,1,0,5,221,0,1974,0
155000,2,1,16,468,1,0,5,63,0,1952,1998
266000,3,4,41,649,1,0,4,126,127,1986,0
257200,3,2,43,743,1,0,4,104,233,1952,0
265000,3,2,36,514,1,0,3,141,0,1998,2006
372220,3,1,30,495,1,0,3,88,103,1951,1994
582500,2,3,27,432,1,0,3,104,0,1948,1994
489200,3,5,43,864,2,0,5,167,0,1965,0
405100,2,1,20,317,1,0,3,76,0,1947,2012
372977,3,4,39,146,2,0,3,104,180,2014,0
310000,3,1,24,889,1,0,3,95,0,1953,0
538000,3,4,33,344,2,0,4,99,100,1904,0
1400000,3,4,59,648,2,2,3,230,0,1981,2013
317000,3,4,43,451,2,0,3,166,0,2012,0
702500,3,3,55,608,2,0,5,174,143,1926,0
565000,4,4,52,1320,2,0,4,202,0,1989,0
723000,4,4,63,360,2,0,3,243,0,2004,0
682000,3,4,43,461,2,2,5,165,0,1903,0
325000,3,4,52,544,2,0,4,200,0,1990,0
543000,3,4,49,688,1,0,3,122,243,1962,2014
525000,3,4,37,551,2,0,3,144,0,1924,2011
364000,4,4,47,776,1,0,4,121,223,1957,2001
394475,2,1,19,360,1,0,3,75,0,1955,2005
316000,4,4,47,650,2,0,3,181,0,1995,0
339950,3,1,24,486,2,0,4,95,0,1906,1990
486000,4,4,50,3550,1,0,3,128,243,1978,0
930000,3,4,72,1850,1,0,3,279,0,1954,2005
139000,3,1,26,1560,1,0,3,99,0,1978,0
562000,3,3,43,720,1,0,4,165,0,1957,2001
299000,2,4,29,3096,1,0,4,113,0,1950,1983
511000,3,4,42,439,2,0,3,164,0,2005,0
499000,3,2,49,3842,2,0,3,188,0,1959,1998
356000,3,5,49,1115,2,0,3,189,0,1980,0
470000,4,4,54,1262,2,0,3,208,0,1991,0
715000,4,3,48,508,1,0,5,122,233,1941,0
1120000,4,3,104,5434,2,0,3,402,0,1988,2000
458000,3,1,39,675,1,0,4,95,200,1940,2001
966000,5,6,89,722,2,0,3,343,0,2008,0
305495,3,4,49,918,2,0,4,190,0,1966,0
543000,2,2,55,19602,2,0,3,144,257,1992,0
340000,3,3,46,334,2,0,3,177,0,1997,0
633100,4,4,57,2997,2,0,3,222,0,1993,0
310000,3,1,34,705,1,0,3,133,0,1952,2008
349950,5,3,52,911,1,0,3,123,298,2005,0
267800,2,1,16,540,1,0,4,63,0,1949,1985
234000,4,2,38,811,1,0,4,95,193,1975,0
740000,4,4,80,914,2,0,3,309,0,2000,0
607500,5,4,52,540,2,0,3,128,267,1923,1998
223000,3,4,31,673,1,0,4,121,0,1973,0
4e+05,2,1,23,192,1,0,4,77,40,1918,1974
802000,3,4,60,1179,2,0,3,232,0,1986,0
253000,4,4,52,409,2,0,3,201,0,2006,0
1058000,4,2,53,1002,1,0,4,206,0,1955,2009
3e+05,3,1,29,745,1,0,3,113,0,1946,0
625000,4,5,39,1006,1,0,4,151,0,1966,0
707000,4,4,74,637,2,0,3,288,0,2004,0
950000,4,4,77,688,2,0,3,299,0,1995,0
420000,4,4,71,2171,2,0,3,274,0,1999,0
498000,4,5,53,664,1,0,4,116,327,1973,0
450000,3,4,68,1545,2,0,3,262,0,1989,0
955000,5,3,58,890,2,0,3,226,0,1972,2002
215000,2,1,29,648,1,0,3,112,0,1967,2011
437000,3,5,60,468,2,0,3,232,0,2008,0
773000,3,5,57,324,2,0,3,222,0,2007,0
1222500,4,5,114,850,2,0,3,280,600,2007,0
256883,3,4,39,452,2,0,3,152,0,2003,0
592500,4,4,52,1083,1,0,3,202,0,1983,2009
252350,3,2,38,662,1,0,3,104,163,1979,2014
370000,4,4,63,529,2,0,3,244,0,1998,2006
465750,3,3,29,932,1,0,3,113,0,1959,1989
185000,3,1,27,729,1,0,3,104,0,1932,0
582800,4,5,59,687,1,0,3,130,370,1986,0
245000,3,4,35,624,1,0,4,134,0,1990,0
302000,4,4,47,708,1,0,4,91,337,1963,0
451555,2,1,31,407,1,1,3,119,0,1912,1971
255000,4,4,48,702,2,0,3,186,0,1989,0
840000,4,4,68,1041,1,3,3,150,420,1947,2012
190000,3,1,25,767,1,0,3,98,0,1967,2011
349950,3,1,33,636,1,0,3,126,0,1957,2000
3e+05,3,1,28,1170,1,0,4,110,0,1955,2009
455000,3,4,43,661,1,0,3,132,133,1980,0
335000,3,3,50,2743,2,0,3,194,0,1991,0
197500,3,1,23,278,2,0,3,88,0,1903,2005
412500,3,3,35,763,1,0,4,134,0,1963,0
395300,3,3,26,630,1,0,3,101,0,1955,2005
342400,3,3,27,867,2,0,3,106,0,1986,0
316500,4,4,50,613,2,0,4,194,0,1991,0
390000,3,4,52,972,2,0,3,202,0,1996,0
225000,3,2,33,665,1,0,3,104,83,1979,2014
280000,3,1,31,1851,2,0,3,120,0,1959,1989
575000,2,1,35,540,1,0,3,98,133,1946,0
1e+06,5,5,91,1463,2,0,3,261,340,1990,2009
585000,5,4,46,338,2,0,4,180,0,1921,0
620000,4,4,62,827,2,0,3,241,0,1989,0
204700,4,2,39,899,1,0,3,150,0,1967,2011
695000,4,3,73,822,2,0,3,284,0,2001,0
689900,4,4,64,654,2,0,3,185,227,2003,0
375000,4,4,44,720,1,0,4,113,213,1960,2001
215000,3,1,27,935,1,0,4,104,0,1969,0
2100000,4,4,82,1788,2,0,3,320,0,1962,2002
790000,3,4,42,551,1,2,3,122,147,1940,1996
695000,3,4,106,1586,2,0,4,342,253,1986,0
263000,3,3,37,697,2,0,4,143,0,1991,0
4e+05,3,1,38,927,1,0,5,147,0,1953,0
525000,3,4,63,669,2,0,3,243,0,1991,0
349950,3,4,39,675,2,0,3,153,0,1994,0
1085000,4,4,87,1087,1,0,3,180,580,1988,2000
744000,4,3,46,482,3,0,3,178,0,1941,2005
312500,2,1,20,571,1,0,3,79,0,1919,2001
240000,3,2,33,558,1,0,3,63,233,1948,1994
495000,4,2,48,360,2,0,5,109,280,1941,0
640000,4,2,59,702,1,0,4,170,223,1947,1988
417000,3,3,31,920,1,0,4,121,0,1956,0
174950,3,1,25,468,1,0,5,95,0,1970,0
295000,3,3,20,225,1,0,3,77,0,1986,0
423000,4,4,44,657,1,0,3,91,290,1976,0
839000,3,1,29,1107,1,0,3,111,0,1955,1990
467000,3,1,39,592,1,0,5,90,220,1946,0
512500,3,4,43,259,2,0,4,166,0,1997,0
575000,4,4,70,1603,1,0,3,144,473,1979,2014
465000,3,4,33,620,1,0,3,127,0,1924,2013
270000,3,1,23,856,1,0,3,91,0,1969,2010
340000,3,4,46,732,1,0,3,88,327,1948,1994
765000,5,6,83,1285,2,0,3,287,130,1999,0
497000,4,4,52,648,2,0,3,202,0,1995,0
803100,4,4,77,486,2,0,3,298,0,2004,0
344000,3,4,29,102,3,0,3,111,0,2007,0
828950,4,5,91,511,2,1,3,254,370,2013,0
386380,3,4,40,324,2,0,3,155,0,2010,0
312000,3,3,35,88,2,0,3,110,90,2009,0
720000,3,4,73,13643,2,0,3,284,0,2007,0
914500,4,4,92,977,3,0,3,356,0,2013,0
819995,5,5,70,930,2,0,3,273,0,2013,0
252700,2,3,25,868,1,0,3,96,0,1985,0
437500,3,4,54,3316,2,2,3,209,0,1992,0
350000,1,1,16,459,1,0,3,63,0,1942,1999
619000,3,4,63,580,2,0,3,245,0,2005,0
451000,3,4,36,364,2,2,3,90,187,1926,2003
317000,3,2,41,1027,1,0,5,95,233,1977,0
799000,4,4,72,450,2,0,3,213,250,2005,0
720000,2,1,47,648,1,3,4,153,107,1947,1988
490000,3,2,34,216,2,0,3,131,0,1900,2003
239900,4,3,43,630,1,0,3,101,247,1979,2014
446000,4,3,53,702,1,0,3,116,327,1977,2004
275000,3,4,34,1408,2,0,3,133,0,1987,2000
239950,5,1,34,543,2,0,4,131,0,1941,1998
248000,4,5,43,587,2,0,3,102,240,1986,0
619500,3,4,50,450,2,0,3,195,0,2003,0
363750,3,4,40,17759,2,0,4,155,0,1982,2011
385000,3,4,27,949,1,0,4,85,80,1981,0
370000,4,3,32,896,1,0,3,81,157,1972,2002
425000,3,4,62,1190,1,0,4,240,0,1988,0
342000,3,1,29,614,1,0,3,65,180,1944,0
345000,4,1,46,719,2,0,3,178,0,1962,2003
724800,3,2,48,354,1,0,3,106,290,1926,2001
725000,5,5,66,478,2,0,3,255,0,2006,0
605000,2,1,21,324,1,0,4,82,0,1909,1989
785000,3,2,51,490,1,0,5,99,360,1904,0
250000,3,2,44,599,1,0,5,86,317,1966,0
565000,3,3,35,110,3,0,3,137,0,2013,0
875000,3,2,52,598,1,2,4,110,333,1947,1988
862500,4,5,76,2200,2,0,3,295,0,1996,0
4e+05,3,4,64,7488,2,4,3,247,0,1973,2013
282613,2,1,19,542,1,0,4,75,0,1954,1979
174500,2,1,23,468,1,0,3,91,0,1955,2005
306500,3,3,48,3454,1,0,4,140,167,1978,2000
445000,3,3,46,661,2,0,3,179,0,1984,0
433000,4,4,53,681,2,0,4,205,0,2001,0
306000,3,4,43,529,2,0,3,168,0,2005,0
620000,3,3,40,360,2,0,4,131,90,1921,0
245000,2,1,20,554,1,0,3,78,0,1941,1994
238000,3,2,24,108,2,0,3,65,100,2004,0
523000,3,3,29,282,2,0,3,113,0,1931,0
522500,3,4,55,709,2,0,3,213,0,2003,0
180000,3,1,23,1666,1,0,3,90,0,1940,1996
375000,3,3,26,158,2,0,3,85,53,2007,0
249000,3,3,33,691,1,0,3,85,167,1982,0
730100,4,4,72,1287,2,0,3,281,0,2003,0
551000,2,2,53,864,1,0,3,203,0,1990,2009
375000,4,4,65,716,2,0,3,251,0,2005,0
540000,1,1,26,603,2,0,3,103,0,1920,1979
605000,3,3,30,225,2,0,4,116,0,1987,0
205000,5,4,40,468,1,0,4,95,227,1978,2000
645000,4,4,73,1024,2,0,3,284,0,1983,2009
314000,4,4,54,809,2,0,3,211,0,2003,0
330000,3,3,27,446,1,0,4,105,0,1960,2001
490000,2,1,27,450,1,0,4,104,0,1937,0
445000,3,3,46,2189,1,0,3,177,0,2010,0
377500,3,3,33,124,2,0,3,116,40,2005,0
480000,4,4,56,450,2,0,3,219,0,2009,0
341000,3,4,34,150,2,0,3,106,100,2012,0
675000,5,4,74,581,2,0,3,288,0,2009,0
611000,3,4,50,179,3,0,3,192,0,2008,0
379950,3,4,43,161,3,0,3,167,0,2007,0
1270000,4,3,128,748,2,3,3,321,650,2008,0
5e+05,2,4,30,135,2,0,3,104,50,2006,0
410000,3,2,39,383,1,0,3,80,270,1944,0
415000,3,4,58,751,2,0,3,223,0,1986,0
297000,5,4,46,774,2,0,4,177,0,1994,0
575550,4,4,48,673,1,0,3,130,207,1985,0
534640,3,4,49,315,1,0,4,109,307,1994,0
352500,3,3,33,1270,1,2,3,105,80,1987,2000
488000,2,2,32,422,1,0,3,70,193,1944,0
732000,3,2,45,5018,1,0,5,175,0,1954,0
215000,2,3,37,184,2,0,4,145,0,1979,0
592500,2,2,33,827,2,2,5,128,0,1928,1970
290000,4,4,39,655,2,0,4,153,0,1988,0
475000,2,1,35,344,1,0,3,77,210,1929,0
320000,3,4,62,698,2,0,3,241,0,1990,2009
1216000,4,4,74,782,1,3,5,151,503,1967,0
440000,2,3,23,177,2,0,5,91,0,1906,0
366500,4,5,48,837,1,0,5,101,317,1945,0
462000,3,3,40,405,2,0,3,127,100,1928,1954
560000,4,1,39,422,2,0,3,113,133,1945,2010
280000,3,4,30,871,2,0,3,114,0,1993,0
210000,3,1,25,1894,1,0,3,97,0,1942,1999
690000,3,2,37,459,2,0,5,145,0,1940,0
411000,4,5,58,473,2,0,3,225,0,1966,0
215000,3,1,23,655,1,0,4,87,0,1970,0
762000,5,2,78,450,2,0,4,193,410,1907,0
359950,3,1,30,17054,1,0,4,116,0,1960,2001
1405000,4,5,79,969,2,0,3,307,0,2008,0
285000,1,3,19,289,2,0,4,73,0,1982,2011
475000,4,4,71,904,1,0,4,153,453,1968,0
386591,3,4,39,145,2,0,3,104,180,2014,0
524950,3,4,44,344,1,0,3,116,200,1974,0
461000,2,1,25,647,1,0,3,95,0,1926,2003
810000,4,4,81,5332,2,0,3,313,0,1988,2000
885000,4,5,63,320,2,0,3,140,393,1921,2007
247000,3,3,37,715,2,0,4,142,0,1986,0
296500,3,5,50,711,1,0,4,124,263,1978,2000
141800,2,1,22,427,1,0,4,84,0,1942,1982
333000,4,2,37,702,2,0,2,142,0,1906,0
602000,5,4,76,1071,2,0,3,296,0,1973,2013
565000,4,3,49,963,2,0,4,190,0,1979,0
373000,3,4,39,321,2,0,3,150,0,1999,0
588000,3,3,47,662,1,0,4,107,280,1977,0
485000,3,1,35,369,2,0,3,123,43,1926,2003
482500,3,3,34,130,2,0,3,88,157,2005,0
251200,4,3,30,743,1,0,3,95,83,1953,0
869000,5,4,97,4430,2,0,4,259,433,1979,0
464000,3,4,38,2574,1,0,3,147,0,1967,2011
755000,4,4,62,941,2,0,3,239,0,1993,0
280000,3,4,40,172,2,0,3,155,0,2005,0
485000,2,3,29,112,3,0,3,113,0,2004,0
305000,3,4,37,1102,1,0,3,145,0,1981,2013
110700,2,1,16,726,1,0,3,61,0,1941,1994
850000,4,5,61,531,2,2,3,238,0,1937,1998
350000,3,3,38,648,2,0,4,148,0,1985,0
319950,4,4,54,724,1,0,4,149,220,1976,1992
7e+05,3,4,47,441,1,0,5,111,260,1912,0
433500,3,4,51,302,2,0,3,198,0,2009,0
611000,4,4,57,378,2,0,3,221,0,1998,2006
1e+06,2,4,56,2106,1,4,3,219,0,1951,1994
442500,3,4,42,918,1,0,3,162,0,1967,2011
485000,3,4,51,694,2,2,3,198,0,1908,1988
367000,2,1,16,210,1,0,3,63,0,1945,2010
429000,3,4,45,1361,2,0,3,173,0,1995,0
446000,5,5,51,1142,1,0,5,123,273,1978,0
572500,3,3,47,881,1,0,4,135,177,1984,0
477000,3,4,31,185,3,0,3,122,0,2005,0
518000,3,4,39,189,2,0,3,124,100,2008,0
462000,5,4,29,948,1,0,4,113,0,1966,0
1190000,4,3,52,540,2,0,4,114,323,1914,1945
137000,3,1,22,686,1,0,3,86,0,1954,2005
530000,3,5,54,286,2,0,3,185,87,1997,0
818000,2,4,55,844,1,2,3,214,0,2011,0
640000,2,3,36,86,3,0,3,139,0,2007,0
575000,4,4,58,445,2,0,3,225,0,2013,0
730000,4,4,75,660,2,0,3,291,0,2004,0
271310,2,1,20,481,2,0,2,78,0,1906,0
675000,4,3,62,2547,1,0,3,242,0,1954,1999
479000,3,4,29,80,3,0,3,113,0,2008,0
520000,4,5,62,900,2,0,3,184,213,1942,2014
599950,3,4,62,448,2,0,3,239,0,2014,0
483945,2,4,34,461,1,0,4,76,213,1951,1999
390000,4,3,41,2982,1,0,4,107,193,1965,0
192500,2,1,22,692,1,0,3,86,0,1926,2003
330000,2,1,20,748,1,0,4,77,0,1948,0
250000,4,2,46,680,1,0,5,104,267,1978,0
243000,2,1,41,497,2,0,4,86,270,1943,0
575000,4,4,30,545,1,0,3,77,140,1926,2003
639000,4,4,50,1083,2,0,4,194,0,1982,2011
710000,2,1,42,360,1,0,4,94,250,1923,0
675000,3,3,46,923,2,0,4,179,0,1987,0
405000,5,4,56,430,2,0,3,219,0,2001,0
615000,4,5,66,1187,1,0,3,167,320,1965,1993
490000,3,1,44,737,1,0,4,91,300,1946,1989
467000,3,3,30,109,2,0,3,94,77,2005,0
480000,4,5,48,356,1,0,4,106,290,1986,0
755000,6,2,50,405,1,0,3,114,293,1952,2008
760000,4,4,57,1197,1,2,4,147,273,1987,0
387000,2,3,29,115,2,0,3,86,90,2012,0
925000,4,3,53,3779,1,0,4,203,0,1967,0
415000,2,1,24,5410,1,0,4,95,0,1943,0
263000,3,4,36,700,2,0,3,141,0,1982,0
519900,4,2,42,842,1,0,4,164,0,1967,0
570000,2,4,36,362,1,0,4,107,117,1908,0
450000,3,3,48,4038,1,0,3,185,0,1953,0
1300000,4,5,102,6665,1,0,3,394,0,2001,0
3e+05,3,1,25,891,1,0,4,98,0,1955,2009
320000,3,4,34,650,1,0,4,133,0,1965,0
387500,4,1,31,400,2,0,3,119,0,1929,0
458000,1,3,50,932,1,0,3,132,223,1976,0
380000,4,3,65,879,2,0,3,252,0,2002,0
2e+05,3,1,24,450,1,0,4,95,0,1967,0
385000,3,3,35,867,1,0,4,134,0,1959,0
396675,2,1,40,574,2,0,4,156,0,1945,0
452000,4,1,28,338,2,0,3,109,0,1900,2005
426000,4,4,65,764,2,0,3,252,0,2004,0
792000,3,3,36,95,2,0,3,141,0,1915,0
315000,3,3,33,2846,1,0,2,103,87,1987,0
1275000,4,2,66,707,1,4,4,131,467,1970,0
326000,6,3,44,648,1,0,4,169,0,1966,0
268500,2,1,18,758,1,0,4,71,0,1953,1983
3e+05,3,1,49,696,1,0,4,95,353,1967,0
525000,3,3,36,430,2,0,3,139,0,1941,2009
978000,4,5,61,1240,2,2,4,155,300,1926,1993
1125000,6,3,67,287,2,0,4,196,233,1919,1985
7e+05,4,1,39,362,2,0,3,151,0,1921,2000
315000,2,1,18,627,1,0,3,71,0,1955,1984
309000,3,1,25,675,2,0,3,98,0,1918,0
219950,3,3,38,894,1,0,3,98,187,1967,2011
289000,3,4,49,423,2,0,3,188,0,2002,0
210000,4,4,51,2584,1,0,3,106,333,1950,2005
260000,4,4,46,600,2,0,3,179,0,1989,0
699000,4,4,62,715,2,0,3,239,0,2006,0
1800000,4,5,104,1526,1,0,3,230,637,1962,1994
299950,3,1,21,720,1,0,4,67,57,1950,1983
749950,3,4,64,970,2,2,3,249,0,1992,0
1100000,3,2,56,620,2,1,5,215,0,1939,0
555000,3,4,71,14270,1,0,4,275,0,1987,0
384000,3,4,39,360,2,0,3,153,0,2003,0
499950,5,5,74,3920,2,0,3,288,0,1989,0
430000,3,4,28,405,1,0,5,108,0,1906,0
350000,4,3,52,626,2,0,4,200,0,1999,0
620000,3,4,58,814,2,0,3,223,0,2004,0
765000,4,3,59,1089,1,0,4,158,267,1976,1992
250000,4,3,58,567,1,0,4,135,333,1961,2001
376000,2,1,27,360,1,0,3,104,0,1947,2012
120750,3,4,26,867,1,0,4,103,0,1969,0
1690000,3,4,79,807,1,2,5,164,527,1957,0
330000,3,1,27,3881,1,0,4,106,0,1959,0
619500,3,4,39,369,2,0,3,153,0,1992,0
345000,3,3,29,1008,1,0,4,112,0,1954,1979
335000,3,1,25,905,1,0,4,95,0,1967,0
372500,4,4,37,947,2,0,4,143,0,1922,0
3e+05,6,6,66,511,2,0,3,257,0,1978,0
194000,1,1,19,95,1,0,3,68,20,2007,0
507500,3,2,47,731,1,0,3,92,333,1963,2008
325000,4,3,43,871,1,0,4,105,233,1959,0
329900,3,4,50,441,2,0,3,195,0,2004,0
329000,4,4,37,609,1,0,3,75,257,1947,2011
494000,4,4,49,387,2,0,4,113,280,1925,1968
206000,4,2,39,542,1,0,3,153,0,1978,0
423000,4,4,45,622,1,0,4,87,323,1941,1998
259000,3,1,31,776,1,0,4,119,0,1957,2001
345600,5,5,65,461,3,0,3,252,0,1903,2005
395000,3,3,25,265,2,0,4,97,0,1920,0
625000,4,4,82,724,2,0,3,320,0,2007,0
380000,3,4,39,132,2,0,3,124,103,2008,0
440000,3,3,30,130,3,0,3,114,0,2007,0
415000,3,3,46,214,2,0,3,151,97,2008,0
860000,4,5,73,729,2,0,3,284,0,2014,0
5e+05,3,4,28,108,3,0,3,109,0,2008,0
953007,4,5,72,458,2,0,3,223,213,2008,0
515000,4,4,62,789,2,0,3,240,0,2006,0
772000,3,3,38,108,3,0,3,148,0,2014,0
329995,4,4,54,331,2,0,3,207,0,2013,0
409316,3,4,42,285,2,0,3,162,0,2014,0
490000,5,5,104,268,3,2,3,295,393,2013,0
305000,2,4,37,239,2,0,3,110,123,2009,0
785000,4,5,71,422,2,0,3,197,293,2009,0
240000,2,4,31,648,1,0,3,120,0,1993,0
325000,3,1,23,608,1,0,4,89,0,1947,1988
535800,4,4,44,521,2,0,3,171,0,1994,0
720000,3,4,47,104,3,3,3,182,0,2000,0
374000,3,4,46,847,1,0,4,180,0,1961,2001
189650,2,4,26,684,1,0,3,99,0,1980,0
420850,1,1,22,3685,1,0,5,86,0,1945,0
815000,4,5,81,865,2,0,3,314,0,1998,2006
1065000,2,4,44,852,2,0,3,170,0,1987,2000
199000,4,2,47,731,2,0,3,183,0,1950,2005
1506000,4,4,85,522,3,0,3,302,100,1909,1995
442000,4,3,48,1081,1,0,4,110,287,1979,0
619420,4,5,57,1332,2,0,4,221,0,1988,0
635000,4,3,64,556,1,0,4,135,417,1948,0
512500,3,4,44,684,2,0,3,171,0,1990,2009
567000,3,4,59,548,2,0,3,229,0,1999,0
525000,3,5,49,933,2,0,3,136,197,1998,2006
250000,3,2,27,653,1,0,3,105,0,1984,0
220000,3,1,25,821,1,2,5,95,0,1956,0
230000,5,2,45,551,2,0,3,174,0,1941,1969
385500,3,2,36,715,1,0,3,101,140,1961,2004
895000,5,3,67,1253,1,2,4,177,302,1973,0
368250,3,4,50,674,2,0,3,194,0,1988,2000
249900,2,1,26,495,1,0,3,103,0,1947,2012
495000,3,5,55,563,2,3,3,150,237,1997,0
1580000,3,4,86,648,2,0,3,332,0,2007,0
330000,3,1,29,821,1,0,3,113,0,1969,2010
1003000,4,5,53,551,2,0,4,195,40,1926,1993
299800,2,1,18,472,1,0,4,71,0,1925,1968
299900,3,4,63,541,2,0,3,245,0,2002,0
691000,4,5,59,777,1,0,3,153,283,1972,2002
195000,2,1,25,351,1,0,4,97,0,1972,0
360000,2,3,20,694,1,2,5,50,100,1909,1988
256750,3,4,46,809,1,0,3,141,140,1969,2010
332500,3,3,42,945,2,0,3,162,0,1995,0
975000,5,4,113,3281,2,0,3,437,0,1977,2004
218000,3,1,24,709,1,0,3,92,0,1956,2001
429000,3,4,56,4494,2,0,3,167,187,1985,0
589000,4,4,68,520,2,2,3,262,0,1998,2006
255000,3,3,25,814,1,0,3,95,0,1973,2013
668750,4,4,54,578,1,2,3,143,250,1964,2000
344500,4,5,42,491,1,0,3,95,250,2002,0
452000,4,2,39,554,1,0,3,77,270,1945,2010
540000,3,4,30,5606,1,0,3,117,0,1983,2009
246000,3,3,41,2144,1,0,3,160,0,1953,0
535000,2,1,24,436,1,0,3,83,37,1939,1969
970000,4,4,65,488,1,3,3,102,553,1963,2013
430000,3,1,27,270,1,0,5,104,0,1906,0
520000,4,4,76,1030,2,0,3,296,0,1992,0
450000,2,1,28,360,1,0,3,96,43,1940,1996
220000,4,4,50,720,2,0,3,194,0,1993,0
525000,3,1,34,360,1,1,4,86,167,1948,0
1220000,4,4,75,324,2,0,3,185,393,2008,0
540000,3,2,34,152,2,0,3,90,157,2007,0
6e+05,4,4,55,470,2,0,3,212,0,2001,0
6e+05,3,3,52,815,2,0,4,201,0,1987,0
625000,4,4,61,4384,2,0,3,237,0,1986,0
150000,3,1,23,2250,1,0,3,91,0,1966,0
389999,3,3,34,132,2,0,3,117,48,2003,0
285000,3,4,55,540,2,0,3,119,353,1935,1974
744000,4,5,66,1175,2,0,3,255,0,1998,2006
7e+05,4,4,70,4156,2,0,3,271,0,1996,0
318989,4,3,46,810,1,0,4,180,0,1978,2000
556000,3,3,47,324,2,0,3,182,0,1998,2006
275000,3,4,47,569,2,0,3,183,0,1993,0
430000,3,5,59,1004,2,0,3,230,0,1994,0
225000,2,1,32,10075,1,0,3,126,0,1940,1997
7e+05,4,4,65,709,2,0,3,250,0,2006,0
260000,6,2,52,792,1,0,3,200,0,1977,2004
1550000,3,4,104,2342,2,0,3,401,0,1992,0
413800,3,2,33,398,1,0,3,130,0,2007,0
950000,5,6,124,540,2,2,3,321,587,2006,0
334990,4,4,52,381,2,0,3,200,0,2014,0
1030000,3,4,90,1179,2,3,3,333,60,2009,0
1130000,4,4,89,767,1,1,3,241,377,2007,0
556000,3,3,46,105,2,0,3,144,120,2007,0
360000,3,4,36,102,3,0,3,138,0,2009,0
480000,4,3,75,3086,2,0,4,293,0,1983,0
324000,3,4,41,649,2,0,3,158,0,1994,0
1050000,4,4,80,3152,2,0,3,310,0,1983,2009
275000,1,3,27,1273,1,0,5,79,97,1962,0
180000,3,1,20,480,1,0,3,78,0,1969,2014
749000,4,4,68,1638,2,0,3,264,0,1998,2006
1600000,3,4,73,1154,1,2,4,164,447,1966,0
373500,2,1,19,300,1,0,3,72,0,1918,0
356000,2,4,25,1482,1,0,3,95,0,1977,2004
585000,4,4,70,3798,1,3,3,135,500,1950,2005
926300,3,3,39,432,2,0,3,149,0,1907,1983
6e+05,3,4,38,459,1,0,5,94,203,1908,0
430000,4,3,75,804,2,0,3,221,257,1990,2009
307000,3,3,54,675,1,0,3,209,0,1976,0
604700,4,5,64,1348,1,3,3,155,343,1981,2013
219900,3,1,21,540,1,0,2,82,0,1956,0
270000,2,3,20,78,2,0,3,76,0,2005,0
432000,3,3,34,142,2,0,3,98,127,2007,0
3e+05,6,2,47,973,1,0,4,184,0,1943,0
361000,3,1,26,364,2,4,4,99,0,1922,0
